ID,Action_Valence,Consequence_Valence
338417,-0.48,-0.787
169422,0.874,0.917
76421,0.063,0.14
46463,-0.214,-0.763
599790,-0.282,-0.457
634302,-0.651,-0.719
613089,0.3,0.092
200521,-0.787,-0.869
255069,0.732,0.859
245719,0.674,0.558
532762,0.786,0.81
487603,0.936,0.912
600986,0.81,0.791
935744,0.81,0.791
504331,-0.214,-0.306
643292,-0.379,-0.651
709619,0.771,0.844
770850,-0.389,-0.777
160285,0.635,0.738
786886,0.12,0.009
898638,0.266,-0.826
381223,0.785,0.815
635247,0.008,-0.874
269868,0.853,0.752
110040,0.018,-0.529
4622,0.736,0.753
308283,-0.478,-0.781
130674,-0.798,-0.864
724536,-0.871,-0.864
182734,0.59,0.422
351876,-0.66,-0.752
929662,-0.769,-0.779
688763,0.558,-0.227
874803,0.7,0.674
464418,0.476,0.434
207966,-0.41,-0.565
771790,0.382,0.003
643599,0.579,0.467
482915,0.432,0.642
395876,0.711,-0.215
44524,-0.604,-0.723
657397,0.499,0.587
282136,-0.374,-0.871
766374,-0.849,-0.871
119104,-0.642,-0.735
835315,0.389,0.64
382228,0.706,0.64
608153,0.848,0.744
661735,-0.664,-0.774
346002,-0.861,-0.872
784504,0.793,0.82
711739,0.891,0.913
865860,-0.719,-0.817
254935,0.771,0.777
759773,0.034,0.004
887166,0.912,0.737
328909,-0.507,-0.524
454374,-0.649,-0.759
501877,0.831,0.344
648193,0.536,0.677
387264,0.885,0.906
224471,0.148,0.223
571069,-0.627,-0.792
919193,0.661,0.682
359985,0.339,-0.721
53300,0.781,0.829
417553,-0.677,-0.918
731210,-1,-1
305994,0.223,0.092
366064,-0.65,-0.841
921974,-0.759,-0.857
139024,0.868,0.819
284406,0.857,-0.327
198801,0.939,0.995
766300,0.857,0.313
708268,0.071,-0.697
185082,0.721,0.394
811387,0.044,0.001
399761,0.776,-0.327
130681,0.874,0.601
903686,0.885,0.847
246201,-0.753,-0.894
855318,0.753,-0.615
384606,0.753,0.57
90278,0.857,0.859
482898,-0.393,-0.855
318044,-0.759,-0.855
413394,0.797,0.155
448831,-0.753,-0.833
703559,0.797,0.706
276699,0.759,-0.642
442744,0.759,-0.369
486399,0.857,0.816
380232,0.038,0.019
943247,0.808,0.652
136737,0.808,0.767
60133,0.972,0.925
692906,0.972,-0.849
252928,0.841,-0.783
856121,1,0.336
940975,1,0.98
446311,-0.534,-0.821
636883,0.858,-0.685
660640,0.858,-0.357
403735,-0.643,-0.75
339227,0.569,0.009
230888,0.738,-0.564
411985,-0.714,-0.733
104077,0.798,0.392
209950,-0.671,-0.722
816240,0.847,0.812
440299,0.601,-0.471
713851,0.235,-0.602
36102,0.77,0.659
470198,-0.491,-0.744
82213,0.846,0.905
9186,0.846,0.856
103798,0.698,0.518
613481,0.043,-0.012
869481,-0.574,-0.629
843403,1,1
500434,0.563,0.29
155819,0.836,0.738
355976,-0.458,-0.818
689871,0.814,0.858
834680,0.923,0.858
25206,-0.649,-0.938
269349,-1,-1
899492,0.747,0.419
516189,0.889,0.583
902005,-0.4,-0.831
302457,0.774,0.496
1498,1,1
713085,-0.916,-0.911
585191,0.814,-0.48
414138,0.716,-0.857
261552,-1,-1
459086,-0.913,-0.962
927716,0.845,-0.722
235875,-0.924,-0.913
165753,-0.935,-0.951
4519,0.746,-0.509
849056,-0.87,-0.869
737641,0.844,0.534
4698,-1,-1
294393,0.867,0.245
648405,0.982,0.878
341210,-0.656,-0.858
474501,0.823,-0.891
75020,1,1
879455,0.809,0.809
632995,0.891,0.913
511960,-0.856,-0.9
541025,0.804,0.77
26703,0.87,0.607
512033,0.875,0.825
53734,0.919,-0.845
436339,0.832,0.64
817109,0.709,0.328
197934,0.442,-0.72
781299,-0.644,-0.807
429004,0.737,0.268
818949,0.89,0.917
551308,-0.562,-0.693
805249,0.781,0.628
607147,0.879,0.535
941979,-0.403,-0.475
724369,0.05,0.049
456950,0.82,0.491
43778,0.864,-0.481
439010,-0.452,-0.235
599272,-0.692,-0.803
336116,-0.539,-0.7
233535,-0.462,-0.749
20409,-0.984,-0.995
523995,0.785,-0.198
136112,0.856,-0.755
900546,0.528,0.331
903035,-0.558,-0.706
375118,0.839,0.828
37510,0.162,-0.864
895512,0.833,-0.509
137515,0.281,-0.776
113849,-1,-1
729150,-0.913,-0.929
869652,0.681,0.627
656325,0.801,0.256
598670,0.036,0.016
309910,0.527,0.507
243595,-0.86,-0.847
159728,0.898,0.905
401307,1,1
845148,0.814,-0.283
527361,-0.103,-0.13
17754,0.82,0.738
269768,0.436,-0.026
494940,-0.792,-0.839
76700,0.791,0.821
100150,0.927,0.908
634317,0.725,-0.003
438885,-0.656,-0.827
500438,-1,-1
519406,-0.432,-0.541
272020,-0.814,-0.879
544102,-0.197,-0.541
604763,-0.65,-0.738
757121,0.333,0.348
836636,-0.726,-0.831
221679,0.432,0.397
445751,0.531,0.037
494583,0.799,0.796
300541,0.548,0.392
492532,-0.893,-0.951
255940,0.827,0.638
660409,-0.292,-0.465
431214,-0.439,-0.52
521925,0.931,0.913
559423,1,1
611104,0.487,0.301
133885,0.738,0.514
831737,-0.572,-0.769
495377,0.798,0.803
182602,-0.916,-0.299
603530,0.836,0.886
498111,0.896,0.591
600552,0.809,-0.293
450688,-0.534,-0.621
329403,0.907,-0.796
228849,-0.84,-0.856
27378,0.285,-0.419
600758,-0.228,-0.375
612564,-0.004,-0.784
937926,0.116,-0.058
928210,-0.632,-0.79
134020,-0.059,-0.61
390974,0.798,0.078
659740,-0.703,-0.905
159063,-0.856,-0.916
422910,-0.872,-0.916
927166,0.777,0.864
794515,0.941,0.864
293641,-0.642,-0.861
83236,-0.254,-0.452
566753,-0.854,-0.889
459467,0.86,0.825
224180,-0.297,-0.327
505675,-0.073,-0.551
762407,1,1
377512,-0.769,-0.615
665773,-0.895,-0.954
618557,0.748,0.416
276949,-0.797,-0.79
550818,0.808,-0.462
185536,-0.529,-0.648
91241,0.792,0.853
466142,0.978,1
825794,-0.752,-0.867
121527,-0.654,-0.616
359186,-0.905,-1
19366,-0.692,-0.809
881307,-0.954,-0.995
809207,-0.807,-0.198
361097,-0.605,-0.591
640884,0.716,0.583
435490,0.896,-0.869
739597,-0.934,-0.885
183115,-0.465,-0.47
484889,-0.678,-0.869
873311,0.823,0.752
620019,0.867,-0.203
36402,-0.776,-0.951
101189,0.682,0.201
205247,-1,-1
626083,0.714,-0.209
298966,-0.651,-0.897
553937,-0.029,-0.389
178318,-0.706,-0.788
427609,-1,-0.963
70543,-0.148,-0.204
722146,0.786,0.615
327365,0.802,-0.815
513220,-0.918,-0.859
232075,0.9,0.801
608277,1,0.943
81531,0.661,0.453
768221,-0.649,-0.781
679976,0.858,0.234
374614,-0.638,-0.754
599054,0.852,-0.306
167984,-0.769,-0.726
383518,-0.557,-0.728
511498,0.638,0.402
41239,-0.918,-0.952
723250,-0.361,-0.433
810158,0.638,0.49
289391,-0.694,-0.771
214532,0.774,-0.449
395348,0.818,0.801
398605,0.79,0.817
401913,-0.739,-0.788
106521,-0.472,-0.499
