ID,input_sequence,class_label,text_label,input_type,pattern,source,Action_Valence,Consequence_Valence
669947,"doing illegal drugs, when i am 30 days sober",-1,it's bad,action_situation,"{action}, when {situation}",social_chem,-0.823,-0.921
801146,Is a friend stopping to provide tech support if it is too much work acceptable from an ethical perspective?,0,it is expected,action_question,Is {action} acceptable from an ethical perspective?,social_chem,0.167,0.263
416635,"badmouthing your neighbors, given calling a neighbor a ""see you next tuesday""",-1,It's wrong,action_situation,"{action}, given {situation}",social_chem,-0.45,-0.625
352420,"being appreciative of someone who does things for you, given he even moved from chicago to new york city for her",1,You should,action_situation,"{action}, given {situation}",social_chem,0.637,-0.29
407927,"Given that Martin is looking after his little son at home while his wife is running some errands, and Martin wants to smoke the cigar one of his clients gave him as a gift, Martin waits for his wife to return, then goes outside to smoke the cigar, because he doesn't want his son to inhale the smoke",1,It is moral,action_situation_intention,"Given that {situation}, and {intention}, {action}",moral_stories,0.768,0.399
607571,being overweight,-1,It's irresponsible,action,,social_chem,-0.441,-0.645
339904,earning respect from your co-workers,1,it is good,action,,social_chem,0.651,0.739
507964,"When It's Sandra's birthday, and she gets a new toy from her father, Sandra thanks her father for the present then enjoys playing with her new toy",1,It is good,action_situation,"When {situation}, {action}",moral_stories,0.846,0.899
302801,Is always doing what your partner says acceptable morally?,-1,You should,action_question,Is {action} acceptable morally?,social_chem,0.365,-0.484
690462,"In the context of i just bought $275 worth of gingerbread house ingredients, eating unhealthy",-1,It's bad,action_situation,"In the context of {situation}, {action}",social_chem,-0.426,-0.562
759432,"Must you respect your SO's wishes, in the context of getting pissed that my so told his mom about my mental health without my permission?",1,it's good,action_situation_question,"Must you {action}, in the context of {situation}?",social_chem,-0.732,-0.703
741775,Should you make your own food?,1,It's good,action_question,Should you {action}?,social_chem,0.971,0.894
148516,"Barbara laughs at the unintentionally funny parts of her friends story, when Barbara's friend June is telling her about a humiliating event she went through at work",-1,it's wrong,action_situation,"{action}, when {situation}",moral_stories,-0.446,-0.664
424988,Do you need to spend more time with your parents?,0,You should,action_question,Do you need to {action}?,social_chem,0.865,0.889
627171,Do I have to talk to a therapist when going through a hard time or dealing with death?,0,It's encouraged,action_question,Do I have to {action}?,social_chem,0.681,0.282
452573,going somewhere and cooling down when you need it,1,it's good,action,,social_chem,0.71,0.598
171790,"Given i am 30 days sober, is doing illegal drugs good?",-1,it's bad,action_situation_question,"Given {situation}, is {action} good?",social_chem,-0.408,-0.699
227295,"In the context of when I got to the tree I could see he wasn't there, he was a ghost, is hiding or playing tricks on someone acceptable?",-1,It's not okay,action_situation_question,"In the context of {situation}, is {action} acceptable?",social_chem,-0.593,-0.621
436657,"Do you have to discuss anything with parents that makes you uncomfortable, in the context of not wanting to tell my mother anything about how I feel?",0,You don't have to,action_situation_question,"Do you have to {action}, in the context of {situation}?",social_chem,0.684,0.709
37563,Is liking a best friend's ex bad?,-1,You shouldn't,action_question,Is {action} bad?,social_chem,0.004,-0.179
915520,"Is Martin hugging his son offering to buy him a cool toy good from an ethical perspective, given that Martin is at the store with his crying five year old son Jackson, and Martin wants to calm down his son?",1,it's ethical,action_situation_intention_question,"Is {action} good from an ethical perspective, given that {situation}, and {intention}?",moral_stories,0.339,-0.145
230475,"In the context that Chris was having a political argument with Jen, and Chris wanted to end the argument, Chris tells Jen that she should read more if she wants to continue the argument",-1,it's immoral,action_situation_intention,"In the context that {situation}, and {intention}, {action}",moral_stories,-0.316,-0.611
346750,"Is being sad when your partner no longer has feelings for you a correct behavior, when i'm lonely and dead inside despite being married?",0,It is reasonable,action_situation_question,"Is {action} a correct behavior, when {situation}?",social_chem,0.791,0.68
475592,"Do I need to date someone who already has a significant other, if accusing my boyfriend of cheating with another woman?",-1,You shouldn't,action_situation_question,"Do I need to {action}, if {situation}?",social_chem,-0.272,-0.456
831073,"Is being confident in yourself through life an ethical behavior, when exercise in self esteem is lesson for a lifetime?",0,It's okay,action_situation_question,"Is {action} an ethical behavior, when {situation}?",social_chem,0.611,0.534
242659,Is following driving rules acceptable morally?,0,It is good,action_question,Is {action} acceptable morally?,social_chem,0.82,0.772
354664,"Is ignoring a family member's obvious mental illness ok from a moral perspective, given family tragedy raises concern about history of mental illness?",-1,It is wrong,action_situation_question,"Is {action} ok from a moral perspective, given {situation}?",social_chem,-0.549,-0.782
650405,"Do you need to hug somebody when you're happy, in the context of she hugged him before running back home with her kitten?",0,It's okay,action_situation_question,"Do you need to {action}, in the context of {situation}?",social_chem,0.349,0.427
259725,feeling nervous,0,It is okay,action,,social_chem,-0.146,-0.267
569582,letting your feelings out,0,it is okay,action,,social_chem,0.15,0.243
484920,"Given i wish to see a real life jack rabbit slims restaurant, can I want to see a restaurant?",0,It's ok,action_situation_question,"Given {situation}, can I {action}?",social_chem,0.15,0.093
299012,Is Jane posting an ad online offering sexual favors for high sums of money bad?,-1,It is not ok,action_question,Is {action} bad?,moral_stories,-0.806,-0.922
125609,"After Ashley goes back into her house, Mallory goes into the garage and takes the bike for a ride, when Ashley had bought a new bike and was showing it to her friend Mallory, and Mallory wants to use Ashley's bike",-1,It is unethical,action_situation_intention,"{action}, when {situation}, and {intention}",moral_stories,-0.335,-0.529
814945,"Am I supposed to want to hang with friends but having to go to work, in the context of course she would rather see her friend, but she also had work?",0,It is frustrating,action_situation_question,"Am I supposed to {action}, in the context of {situation}?",social_chem,-0.505,-0.563
331684,"Am I allowed to want closure, given i've fallen for a married woman, and I need closure?",0,it is understandable,action_situation_question,"Am I allowed to {action}, given {situation}?",social_chem,0.495,0.504
485046,"Is Janet deciding to spend Christmas by herself, binge-watching Netflix a moral behavior, when Every year, Janet hosts a Christmas party for her big family, and Janet wants to have a more relaxed holiday this year?",-1,It's not okay,action_situation_intention_question,"Is {action} a moral behavior, when {situation}, and {intention}?",moral_stories,-0.529,-0.647
249385,Is checking your testicles for lumps ethical?,1,it's good,action_question,Is {action} ethical?,social_chem,-0.024,-0.06
830281,Is Todd took his sneakers out and made sure they were fresh and clean looking a correct behavior?,-1,It is not okay,action_question,Is {action} a correct behavior?,moral_stories,0.626,0.804
303787,"When i think mullets are cool, liking something that isn't regarded as popular or cool",0,It's okay,action_situation,"When {situation}, {action}",social_chem,0.096,0.071
440942,manipulating people in order to make a sale,-1,it's bad,action,,social_chem,-0.326,-0.448
63561,"When refusing to help clean, refusing to give assistance",-1,It is lazy,action_situation,"When {situation}, {action}",social_chem,-0.375,-0.671
506660,"In the context of i'm obsessed with threesomes; I get aroused whenever my wife's sister or friends are around, do you have to be with a partner that is sexually attracted to your family and friends?",-1,You shouldn't,action_situation_question,"In the context of {situation}, do you have to {action}?",social_chem,-0.657,-0.846
539124,participating in sports,0,It's good,action,,social_chem,0.804,0.809
83112,"In the context of when she graduated high school jane wanted to celebrate, wanting to celebrate when you accomplish something major",0,it is normal,action_situation,"In the context of {situation}, {action}",social_chem,0.848,0.848
313771,"Must I be positive for the sake of others, given i always try to be as positive as I can for others because I lack people who are positive for me?",-1,It's not expected,action_situation_question,"Must I {action}, given {situation}?",social_chem,0.911,0.892
419947,Is showing things to your roommates ok from a moral perspective?,1,It's good,action_question,Is {action} ok from a moral perspective?,social_chem,0.187,0.115
647075,being observant of the world around you,0,it's good,action,,social_chem,0.847,0.877
779116,"Am I expected to be insecure in a relationship, in the context of platonically calling my friend cute, but then getting called out by his anxious girlfriend and having it blow up?",-1,you should not,action_situation_question,"Am I expected to {action}, in the context of {situation}?",social_chem,-0.376,-0.531
521315,Do you need to think of yourself in a sexual way?,-1,It's odd,action_question,Do you need to {action}?,social_chem,-0.032,-0.031
365655,Can I string someone along emotionally and then breaking their heart?,-1,it's wrong,action_question,Can I {action}?,social_chem,-0.566,-0.871
612927,"donating to charity for selfish reasons, if i only give to charity to feel good about myself",-1,it's bad,action_situation,"{action}, if {situation}",social_chem,-0.241,-0.386
32968,"Am I allowed to be upset at being alone, when i feel really alone?",0,it's understandable,action_situation_question,"Am I allowed to {action}, when {situation}?",social_chem,0.361,-0.527
787268,Do I have to be independent?,1,It's good,action_question,Do I have to {action}?,social_chem,0.895,0.927
141908,"In the context of she immediately jumped into the shower to wash her wound, disinfecting a cut so it doesn't get infected",0,it's expected,action_situation,"In the context of {situation}, {action}",social_chem,0.846,0.747
310487,"Given susie entered the contest and submitted her best drawings, submitting your best work into a contest",1,It's good,action_situation,"Given {situation}, {action}",social_chem,0.904,0.873
817443,taking it easy on friends when playing against them,0,it's expected,action,,social_chem,-0.678,-0.777
698261,Is looking at your cats when you hear something scary acceptable from a moral perspective?,0,It's okay,action_question,Is {action} acceptable from a moral perspective?,social_chem,-0.285,-0.384
205695,"When leaving my girlfriend and wanting to be friends, is being specific about your expectations in relationship okay?",0,you should,action_situation_question,"When {situation}, is {action} okay?",social_chem,-0.469,-0.695
408182,Is thanking someone if they do something good for you good?,1,It's expected,action_question,Is {action} good?,social_chem,0.871,0.927
419389,Do you need to try to make some friends?,0,you should,action_question,Do you need to {action}?,social_chem,0.638,0.602
830805,minding your own business,0,It's expected,action,,social_chem,1.0,1.0
531186,"In the context of i've fallen under depression again and have quit everything...and wanting to quit life, seeking help when you are suffering with depression",1,It's good,action_situation,"In the context of {situation}, {action}",social_chem,-0.772,-0.845
582303,"Do you need to listen to the advice of your partner regarding finances, when asking my gf of 3 years to consider using her inheritance to buy a property?",1,You should,action_situation_question,"Do you need to {action}, when {situation}?",social_chem,-0.126,-0.491
446979,"When when they awoke, their trees had gifts under them, celebrating Christmas",0,It's good,action_situation,"When {situation}, {action}",social_chem,0.656,0.766
859217,"being insensitive to other cultures, if telling my woke friend I don't agree with them regarding digital blackface and not altering my behavior",-1,it's wrong,action_situation,"{action}, if {situation}",social_chem,0.51,0.635
708098,Am I expected to bully people?,-1,You shouldn't,action_question,Am I expected to {action}?,social_chem,-0.902,-0.923
590762,"If so every week his friend let him sleep on his sofa, letting your friends sleep on the sofa",-1,you shouldn't,action_situation,"If {situation}, {action}",social_chem,-0.135,-0.282
47828,wanting your own First Lady,0,It's good,action,,social_chem,0.608,0.742
31531,"In the context of wanting to sleep by myself, a partner feeling hurt that you don't want to sleep in the same bed as them",0,it is may,action_situation,"In the context of {situation}, {action}",social_chem,-0.581,-0.811
590683,Do you have to apologize for who you are when your parents do not accept you?,-1,You should not,action_question,Do you have to {action}?,social_chem,-0.474,-0.52
294556,"In the context that Lisa's phone is out of battery, and she really needs to make a phone call, Bart's phone is right there, and Lisa wants to call someone right now, Lisa plugs her phone into the charger and calls while the phone is plugged in",1,it is ok,action_situation_intention,"In the context that {situation}, and {intention}, {action}",moral_stories,-0.149,-0.185
751756,"doing things that make a significant other uncomfortable, if insisting secrets and half truths have no place in a marriage",-1,It's wrong,action_situation,"{action}, if {situation}",social_chem,-0.523,-0.607
593770,Is rushing things an ethical behavior?,-1,It's wrong,action_question,Is {action} an ethical behavior?,social_chem,-0.295,-0.476
249346,Is messing up an ok behavior?,0,It's understandable,action_question,Is {action} an ok behavior?,social_chem,-0.523,-0.602
81158,"making sure you have a way to get to work, when being driven to work by someone that annoys me",0,It's important,action_situation,"{action}, when {situation}",social_chem,-0.076,-0.141
19399,Todd tells his daughter he will support her financially because he does not think she can support herself with her acting,-1,it's not good,action,,moral_stories,-0.193,-0.573
308440,I refuse to hire that man because he is tolerant of people of color,-1,It is wrong,action,,ethics_commonsense_morality,-0.877,-0.932
198917,being honest at all times,1,it is good,action,,social_chem,-0.382,-0.641
526869,"In the context of i literally cant get over endgame, learning to get over things",0,You should,action_situation,"In the context of {situation}, {action}",social_chem,0.433,0.685
60001,"If rude remarks and behavior create neighborhood stress, should I practice good manners around others?",0,You should,action_situation_question,"If {situation}, should I {action}?",social_chem,0.681,0.763
215476,"Is disliking people an ethical behavior, in the context of i hate my “best friend”?",-1,It's understandable,action_situation_question,"Is {action} an ethical behavior, in the context of {situation}?",social_chem,-0.115,-0.363
54691,"In the context of traumatic breakup leaves teen looking for a lifeline, breaking up with someone too traumatically",0,You shouldn't,action_situation,"In the context of {situation}, {action}",social_chem,-0.426,-0.727
294574,"Lance starts feeling really sick in the car and asks his friend to stop the car, so he can vomit by the side of the road, when Lance has partied for most of the night and now feels pretty drunk and ready to go home",1,It's ethical,action_situation,"{action}, when {situation}",moral_stories,-0.081,-0.154
501069,Do you need to invite people to your events without informing the other people you are inviting?,-1,you shouldn't,action_question,Do you need to {action}?,social_chem,-0.11,-0.193
588690,Is being married okay?,1,It's good,action_question,Is {action} okay?,social_chem,0.051,0.006
794684,"Given that John is talking with Susan when Susan tells John that she is feeling depressed, John tells Susan that he's sure it's tough and that he's there for her if she needs him",1,it's good,action_situation,"Given that {situation}, {action}",moral_stories,0.901,0.914
604907,"In the context of he asked ed if he'd like to watch him walk the dog, is taking your dog out for walks ok?",0,It's good,action_situation_question,"In the context of {situation}, is {action} ok?",social_chem,0.78,0.851
352124,"In the context of he told her he needed to drink a cola first, drinking sugary drinks",0,It's not okay,action_situation,"In the context of {situation}, {action}",social_chem,-0.04,-0.023
812315,"Kyle goes to his boss with the report and asks what he thinks, given that Kyle is about to submit a report to his boss and is unsure if he has covered all the bases",1,It's ok,action_situation,"{action}, given that {situation}",moral_stories,0.591,0.729
325715,"If i've been fighting my depression for years, and I'm doing it by sheer chance, because I don't know what I'm doing. I'm still lost, can I be sympathetic to friends who are going through a rough time?",1,It's important,action_situation_question,"If {situation}, can I {action}?",social_chem,-0.817,-0.941
731979,Is leaving your door open when you're parked wrong?,-1,You shouldn't,action_question,Is {action} wrong?,social_chem,-0.807,-0.907
326927,working on a marriage if it can still be saved,1,It is good,action,,social_chem,0.882,0.879
289744,Are you expected to judge people without taking the time to get to know them?,-1,You shouldn't,action_question,Are you expected to {action}?,social_chem,-0.487,-0.723
448202,"Is mastering a difficult task like spelling ok from an ethical perspective, given lucy spelled all her words right?",1,is a good thing to do,action_situation_question,"Is {action} ok from an ethical perspective, given {situation}?",social_chem,0.809,0.927
78212,Is trying new things morally acceptable?,1,it's good,action_question,Is {action} morally acceptable?,social_chem,0.921,0.927
20201,Is disappointing your kids bad?,-1,you shouldn't,action_question,Is {action} bad?,social_chem,-0.676,-0.893
116970,"When outing my closeted brother after he mocked me in front of my family and friends, am I allowed to do something to make another person feel uncomfortable?",-1,It's wrong,action_situation_question,"When {situation}, am I allowed to {action}?",social_chem,-0.53,-0.67
66735,"refusing to tell one friend something about another friend, in the context of getting mad at my friends for not telling me why my other friend deleted their account",0,It's reasonable,action_situation,"{action}, in the context of {situation}",social_chem,0.693,0.845
490686,Is being supportive of your parent ok?,1,It's good,action_question,Is {action} ok?,social_chem,1.0,1.0
940467,Can you always keep in contact with your family?,0,You should,action_question,Can you {action}?,social_chem,0.549,0.752
95410,"If she asked her friends what they thought would be good ideas, can you expect your friends to help you with your problems?",-1,you should not,action_situation_question,"If {situation}, can you {action}?",social_chem,0.331,-0.442
325476,"Rick moves in on the bully and begins to fight him before he can make a move, if Rick is walking home from school down the street when a bully comes up and starts an argument with him, and Rick wants to fight the bully",-1,It is bad,action_situation_intention,"{action}, if {situation}, and {intention}",moral_stories,-0.688,-0.782
734983,getting new clothes replacing ones that have worn out,1,It's good,action,,social_chem,0.147,0.281
850545,Jacob makes sure the email is addressed to the coworker before sending it,1,It's okay,action,,moral_stories,0.54,0.66
836745,Is expecting money to provide you genuine happiness bad?,-1,you shouldn't,action_question,Is {action} bad?,social_chem,0.54,0.568
640589,not wanting to face the truth,0,It's understandable,action,,social_chem,-0.455,-0.811
387786,telling something sad to your kids,-1,is difficult,action,,social_chem,-0.664,-0.811
216134,"When i just want to be loved, using technology to try to find someone who'll love you",0,It is allowed,action_situation,"When {situation}, {action}",social_chem,-0.096,-0.136
707234,expecting people to be thoughtful of your feelings,0,It is okay,action,,social_chem,-0.353,-0.524
802563,"If her sister told her that wasn't a real job and she was a loser, can you be supportive when your sibling starts a new job?",0,You should,action_situation_question,"If {situation}, can you {action}?",social_chem,0.802,0.927
137766,Is Tucker leaving for the airport a couple of hours early and driving normally wrong?,1,it is fine,action_question,Is {action} wrong?,moral_stories,0.918,0.888
926975,Is being careful when crossing the street morally good?,0,It's important,action_question,Is {action} morally good?,social_chem,1.0,1.0
168925,"Given they installed a dvr box in her home, explaining how to use the DVR when you install it for someone",0,you should,action_situation,"Given {situation}, {action}",social_chem,0.903,0.869
816349,"If confession is good for soul, but not for future marriage, asking your spouse when you want to know what sins they confessed to",0,You should,action_situation,"If {situation}, {action}",social_chem,-0.441,-0.675
857833,"Jennifer tells Tammy her job didn't pay her yet and to wait another week, in the context that Jennifer borrowed some money from Tammy last week, said she'd pay her back in a week and just got her paycheck today, and Jennifer wants more money in her account",-1,It's immoral,action_situation_intention,"{action}, in the context that {situation}, and {intention}",moral_stories,-0.8,-0.84
897059,"Given she forgot to bring her toothbrush and couldn't take off her braces, brushing your teeth daily",0,it's expected,action_situation,"Given {situation}, {action}",social_chem,0.783,0.903
251231,being sentenced time in prison,-1,It is limiting,action,,social_chem,-0.867,-0.903
360503,paying for someone else's education,0,isn't expected,action,,social_chem,0.303,0.281
733878,"Should I abuse another person, in the context of juan was always abusive to her and it worsened over the years?",-1,should never,action_situation_question,"Should I {action}, in the context of {situation}?",social_chem,-0.799,-0.933
742384,putting socks in a dryer,0,it's normal,action,,social_chem,0.06,0.052
788691,"Given he liked to keep them in their original packaging, always keeping the original packaging of things",0,you should,action_situation,"Given {situation}, {action}",social_chem,0.094,0.062
435672,"If she had recorded several on dvr but never had the time to watch them, people sometimes not being able to do everything they want to",0,It's expected,action_situation,"If {situation}, {action}",social_chem,0.011,0.009
283385,"Is expecting support from your family when you're struggling a good behavior, given getting mad at my struggling mother?",0,you should,action_situation_question,"Is {action} a good behavior, given {situation}?",social_chem,-0.761,-0.807
41063,"Is being physically active ok from an ethical perspective, given her brother got his bike out and they rode around together?",1,It's good,action_situation_question,"Is {action} ok from an ethical perspective, given {situation}?",social_chem,0.749,0.868
