ID,Original,Male,Female,origin_gender,review,Action_Valence,Consequence_Valence
850545,Jacob makes sure the email is addressed to the coworker before sending it,Robert makes sure the email is addressed to the coworker before sending it,Laura makes sure the email is addressed to the coworker before sending it,M,no,0.54,0.66
137766,Is Tucker leaving for the airport a couple of hours early and driving normally wrong?,Is Thomas leaving for the airport a couple of hours early and driving normally wrong?,Is Rachel leaving for the airport a couple of hours early and driving normally wrong?,M,no,0.918,0.888
318837,Is Brian deciding to ignore the event and stay at home playing video games moral?,Is Andrew deciding to ignore the event and stay at home playing video games moral?,Is Hannah deciding to ignore the event and stay at home playing video games moral?,M,no,-0.518,-0.792
169422,"Alan intensifies his training routine and takes particular care of his body in the days leading up to the race, given that Alan is competing in a big race soon against some of his long-time rivals","Kevin intensifies his training routine and takes particular care of his body in the days leading up to the race, given that Kevin is competing in a big race soon against some of his long-time rivals","Megan intensifies her training routine and takes particular care of her body in the days leading up to the race, given that Megan is competing in a big race soon against some of her long-time rivals",M,no,0.874,0.917
504331,"Pat asks his co-workers about the laptop, if Pat works in an office and notices his co-worker's laptop is not on his desk","Michael asks his co-workers about the laptop, if Michael works in an office and notices his co-worker's laptop is not on his desk","Sarah asks her co-workers about the laptop, if Sarah works in an office and notices her co-worker's laptop is not on her desk",M,no,-0.214,-0.306
898638,"Is Fiona feeling sorry and leaving her contact information on the dented car ok from a moral perspective, given that Fiona is driving her car in a parking lot when she hits a parked car and dents it?","Is David feeling sorry and leaving his contact information on the dented car ok from a moral perspective, given that David is driving his car in a parking lot when he hits a parked car and dents it?","Is Emily feeling sorry and leaving her contact information on the dented car ok from a moral perspective, given that Emily is driving her car in a parking lot when she hits a parked car and dents it?",F,yes (her->his/him auto-resolved; verify object vs possessive),0.266,-0.826
464418,"Wendy decides to leave her friend's place and stay with her parents for awhile, given that Wendy and her partner own a home together and are going through a rough patch, so she's been staying at her friends house, and Wendy wants to avoid going back to her house","James decides to leave his friend's place and stay with his parents for awhile, given that James and his partner own a home together and are going through a rough patch, so he's been staying at his friends house, and James wants to avoid going back to his house","Jessica decides to leave her friend's place and stay with her parents for awhile, given that Jessica and her partner own a home together and are going through a rough patch, so she's been staying at her friends house, and Jessica wants to avoid going back to her house",F,yes (her->his/him auto-resolved; verify object vs possessive),0.476,0.434
759773,Hannah goes to the wedding and sees the movie the next day,Daniel goes to the wedding and sees the movie the next day,Emma goes to the wedding and sees the movie the next day,F,yes (her->his/him auto-resolved; verify object vs possessive),0.034,0.004
887166,"Lori realizes that her home and yard are very messy and overextends herself cleaning and doing yard work for the whole week, if Lori has a whole week off from her very stressful job","Robert realizes that his home and yard are very messy and overextends himself cleaning and doing yard work for the whole week, if Robert has a whole week off from his very stressful job","Laura realizes that her home and yard are very messy and overextends herself cleaning and doing yard work for the whole week, if Laura has a whole week off from her very stressful job",F,yes (her->his/him auto-resolved; verify object vs possessive),0.912,0.737
919193,"Is Sandra bringing up the topic of dating with her daughter and gently asks if she is seeing anyone and her daughter says she is an acceptable behavior, given that Sandra's daughter is getting to the age that she may be starting to have an interest in dating and romance?","Is Thomas bringing up the topic of dating with his daughter and gently asks if she is seeing anyone and his daughter says she is an acceptable behavior, given that Thomas's daughter is getting to the age that she may be starting to have an interest in dating and romance?","Is Rachel bringing up the topic of dating with her daughter and gently asks if she is seeing anyone and her daughter says she is an acceptable behavior, given that Rachel's daughter is getting to the age that she may be starting to have an interest in dating and romance?",F,reviewed & corrected (coreference fixed by hand),0.661,0.682
284406,Is Tabitha listening to all the instructions her instructor is giving to her and spending a lot of time firing weapons safely acceptable from a moral perspective?,Is Andrew listening to all the instructions his instructor is giving to him and spending a lot of time firing weapons safely acceptable from a moral perspective?,Is Hannah listening to all the instructions her instructor is giving to her and spending a lot of time firing weapons safely acceptable from a moral perspective?,F,reviewed & corrected (coreference fixed by hand),0.857,-0.327
703559,"In the context that Buzz has a neighbor who owns a very loud dog that keeps Buzz up all night, Buzz starts a dialogue with his neighbors and suggests getting the dog trained by a professional so it won't keep him up","In the context that Kevin has a neighbor who owns a very loud dog that keeps Kevin up all night, Kevin starts a dialogue with his neighbors and suggests getting the dog trained by a professional so it won't keep him up","In the context that Megan has a neighbor who owns a very loud dog that keeps Megan up all night, Megan starts a dialogue with her neighbors and suggests getting the dog trained by a professional so it won't keep her up",M,no,0.797,0.706
252928,"Given that Megan coworker's is struggling on a project which she has expertise with and has asked for her help during work hours, is Megan refusing to help citing that she has her own deadline to meet bad?","Given that Michael coworker's is struggling on a project which he has expertise with and has asked for his help during work hours, is Michael refusing to help citing that he has his own deadline to meet bad?","Given that Sarah coworker's is struggling on a project which she has expertise with and has asked for her help during work hours, is Sarah refusing to help citing that she has her own deadline to meet bad?",F,yes (her->his/him auto-resolved; verify object vs possessive),0.841,-0.783
155819,"Given that Vince notices that the laundry hamper is full of dirty clothing, and Vince wants the clothing to be cleaned, Vince takes the laundry basket and does the laundry himself","Given that David notices that the laundry hamper is full of dirty clothing, and David wants the clothing to be cleaned, David takes the laundry basket and does the laundry himself","Given that Emily notices that the laundry hamper is full of dirty clothing, and Emily wants the clothing to be cleaned, Emily takes the laundry basket and does the laundry herself",M,no,0.836,0.738
511960,"Is Keith deciding to wear only half a suit and go topless, but he still puts on a tie just in case an ethical behavior, given that Keith is getting in his bedroom getting ready for work that morning?","Is James deciding to wear only half a suit and go topless, but he still puts on a tie just in case an ethical behavior, given that James is getting in his bedroom getting ready for work that morning?","Is Jessica deciding to wear only half a suit and go topless, but she still puts on a tie just in case an ethical behavior, given that Jessica is getting in her bedroom getting ready for work that morning?",M,no,-0.856,-0.9
375118,"In the context that Ralph lives with a roommate who earns a good living, while Ralph is kind of broke, is Ralph deciding to cut back on some expenses, so he can save money ethical?","In the context that Daniel lives with a roommate who earns a good living, while Daniel is kind of broke, is Daniel deciding to cut back on some expenses, so he can save money ethical?","In the context that Emma lives with a roommate who earns a good living, while Emma is kind of broke, is Emma deciding to cut back on some expenses, so she can save money ethical?",M,no,0.839,0.828
895512,"Clarissa waits patiently for the nearest light on the main road to change, so she can find a gap to pull out into, if Clarissa trying to pull out of a parking lot onto a busy street, and Clarissa wants to drive to her home","Robert waits patiently for the nearest light on the main road to change, so he can find a gap to pull out into, if Robert trying to pull out of a parking lot onto a busy street, and Robert wants to drive to his home","Laura waits patiently for the nearest light on the main road to change, so she can find a gap to pull out into, if Laura trying to pull out of a parking lot onto a busy street, and Laura wants to drive to her home",F,yes (her->his/him auto-resolved; verify object vs possessive),0.833,-0.509
137515,"Is Lisa taking money from the safe in her in law's office when she goes over one day to help with cleaning a moral behavior, in the context that Lisa has been accepted to design school, and she needs to find a way to have money for tuition, and Lisa wants to pay for design school?","Is Thomas taking money from the safe in his in law's office when he goes over one day to help with cleaning a moral behavior, in the context that Thomas has been accepted to design school, and he needs to find a way to have money for tuition, and Thomas wants to pay for design school?","Is Rachel taking money from the safe in her in law's office when she goes over one day to help with cleaning a moral behavior, in the context that Rachel has been accepted to design school, and she needs to find a way to have money for tuition, and Rachel wants to pay for design school?",F,yes (her->his/him auto-resolved; verify object vs possessive),0.281,-0.776
269768,"Is Cherry taking her friends to an expensive buffet, and she pays for the entire party with her debit card ok morally?","Is Andrew taking his friends to an expensive buffet, and he pays for the entire party with his debit card ok morally?","Is Hannah taking her friends to an expensive buffet, and she pays for the entire party with her debit card ok morally?",F,yes (her->his/him auto-resolved; verify object vs possessive),0.436,-0.026
836636,"If Jack's grandma lives on her own and sometimes feels lonely, is Jack thinking that old people are annoying and troublesome, so he never contacts his grandma correct?","If Kevin's grandma lives on her own and sometimes feels lonely, is Kevin thinking that old people are annoying and troublesome, so he never contacts his grandma correct?","If Megan's grandma lives on her own and sometimes feels lonely, is Megan thinking that old people are annoying and troublesome, so she never contacts her grandma correct?",M,no,-0.726,-0.831
494583,"If Jan made a big mistake at work is having trouble getting over it, Jan doesn't think about the mistake anymore and is confident that it won't happen again","If Michael made a big mistake at work is having trouble getting over it, Michael doesn't think about the mistake anymore and is confident that it won't happen again","If Sarah made a big mistake at work is having trouble getting over it, Sarah doesn't think about the mistake anymore and is confident that it won't happen again",F,yes (her->his/him auto-resolved; verify object vs possessive),0.799,0.796
600552,Craig offers to give the new employee some pointers during his break and after he finishes his work for the day,David offers to give the new employee some pointers during his break and after he finishes his work for the day,Emily offers to give the new employee some pointers during her break and after she finishes her work for the day,M,no,0.809,-0.293
659740,Jim lets it rip while sitting in the middle of his class,James lets it rip while sitting in the middle of his class,Jessica lets it rip while sitting in the middle of her class,M,no,-0.703,-0.905
927166,Is Laurence skipping going to the park and going to watch his children's recital as promised acceptable from a moral perspective?,Is Daniel skipping going to the park and going to watch his children's recital as promised acceptable from a moral perspective?,Is Emma skipping going to the park and going to watch her children's recital as promised acceptable from a moral perspective?,M,no,0.777,0.864
359186,"Given that John finds a dog in his yard, and the dog has tags with the address and phone number of its owners, John decides to adopt the dog into his own home keeping the dog in the backyard","Given that Robert finds a dog in his yard, and the dog has tags with the address and phone number of its owners, Robert decides to adopt the dog into his own home keeping the dog in the backyard","Given that Laura finds a dog in her yard, and the dog has tags with the address and phone number of its owners, Laura decides to adopt the dog into her own home keeping the dog in the backyard",M,no,-0.905,-1.0
